ptnum,Rout,Cd_x,Cd_y,Cd_z,L,lnRa,lnRb,theta,P_x,P_y,P_z,Rin,analytic_vortex_core_vel_x,analytic_vortex_core_vel_y,analytic_vortex_core_vel_z
136,3.0,0.0,0.0,0.30399999022483826,1.455287218093872,0.815801739692688,-0.6394854784011841,3.665191173553467,-1.1490892171859741,0.0,-0.6634265780448914,0.699999988079071,0.042464327067136765,0.0,-0.07353398948907852
137,3.0,0.0,0.0,0.30399999022483826,1.455287218093872,0.8123340606689453,-0.6429531574249268,3.665191173553467,-1.1530808210372925,0.0,-0.6657311320304871,0.699999988079071,0.041808582842350006,0.0,-0.07239563018083572
138,3.0,0.0,0.0,0.30399999022483826,1.455287218093872,0.8088781833648682,-0.6464090943336487,3.665191173553467,-1.15707266330719,0.0,-0.6680358052253723,0.699999988079071,0.041176874190568924,0.0,-0.0713035985827446
139,3.0,0.0,0.0,0.30399999022483826,1.455287218093872,0.8054343461990356,-0.6498528718948364,3.665191173553467,-1.1610642671585083,0.0,-0.670340359210968,0.699999988079071,0.04055015370249748,0.0,-0.07021400332450867
140,3.0,0.0,0.0,0.30399999022483826,1.4552873373031616,0.8020024299621582,-0.6532849073410034,3.665191173553467,-1.1650558710098267,0.0,-0.6726449728012085,0.699999988079071,0.039930421859025955,0.0,-0.06914235651493073
141,3.0,0.0,0.0,0.30399999022483826,1.455287218093872,0.7985819578170776,-0.6567053198814392,3.665191173553467,-1.1690475940704346,0.0,-0.674949586391449,0.699999988079071,0.03930295258760452,0.0,-0.06806041300296783
142,3.0,0.0,0.0,0.30399999022483826,1.455287218093872,0.7951732873916626,-0.6601139903068542,3.665191173553467,-1.1730393171310425,0.0,-0.6772541999816895,0.699999988079071,0.03869074210524559,0.0,-0.0669933632016182
143,3.0,0.0,0.0,0.30399999022483826,1.455287218093872,0.791776180267334,-0.6635110974311829,3.665191173553467,-1.1770310401916504,0.0,-0.6795588135719299,0.699999988079071,0.03808900713920593,0.0,-0.06595581769943237
144,3.0,0.0,0.0,0.30399999022483826,1.455287218093872,0.788390576839447,-0.6668967008590698,3.665191173553467,-1.1810227632522583,0.0,-0.6818634271621704,0.699999988079071,0.037490230053663254,0.0,-0.0649130791425705
145,3.0,0.0,0.0,0.30399999022483826,1.455287218093872,0.7850164175033569,-0.6702708601951599,3.665191173553467,-1.1850144863128662,0.0,-0.6841680407524109,0.699999988079071,0.036898981779813766,0.0,-0.06389349699020386
146,3.0,0.0,0.0,0.30399999022483826,1.455287218093872,0.781653642654419,-0.6736335754394531,3.665191173553467,-1.1890060901641846,0.0,-0.6864725947380066,0.699999988079071,0.036312587559223175,0.0,-0.06287483870983124
147,3.0,0.0,0.0,0.30399999022483826,1.455287218093872,0.778302013874054,-0.6769852638244629,3.665191173553467,-1.192997932434082,0.0,-0.6887772679328918,0.699999988079071,0.03573763743042946,0.0,-0.06188063323497772
148,3.0,0.0,0.0,0.30399999022483826,1.455287218093872,0.7749617099761963,-0.6803255081176758,3.665191173553467,-1.1969895362854004,0.0,-0.6910818219184875,0.699999988079071,0.035148508846759796,0.0,-0.060861822217702866
149,3.0,0.0,0.0,0.30399999022483826,1.455287218093872,0.7716324925422668,-0.68365478515625,3.665191173553467,-1.2009812593460083,0.0,-0.6933864951133728,0.699999988079071,0.034593574702739716,0.0,-0.059898994863033295
150,3.0,0.0,0.0,0.30399999022483826,1.455287218093872,0.7683143615722656,-0.6869728565216064,3.665191173553467,-1.2049728631973267,0.0,-0.6956910490989685,0.699999988079071,0.03403552249073982,0.0,-0.05893421918153763
151,3.0,0.0,0.0,0.30399999022483826,1.455287218093872,0.7650070190429688,-0.6902802586555481,3.665191173553467,-1.2089647054672241,0.0,-0.6979957222938538,0.699999988079071,0.03348054736852646,0.0,-0.057973939925432205
152,3.0,0.0,0.0,0.30399999022483826,1.455287218093872,0.7617107629776001,-0.6935765147209167,3.665191173553467,-1.2129563093185425,0.0,-0.7003002762794495,0.699999988079071,0.03292879834771156,0.0,-0.05700945481657982
153,3.0,0.0,0.0,0.30399999022483826,1.455287218093872,0.7584252953529358,-0.696861982345581,3.665191173553467,-1.2169480323791504,0.0,-0.7026048898696899,0.699999988079071,0.032397009432315826,0.0,-0.056093573570251465
154,3.0,0.0,0.0,0.30399999022483826,1.455287218093872,0.755150556564331,-0.7001367211341858,3.665191173553467,-1.2209397554397583,0.0,-0.7049095034599304,0.699999988079071,0.031862080097198486,0.0,-0.05516386404633522
155,3.0,0.0,0.0,0.30399999022483826,1.455287218093872,0.7518864870071411,-0.703400731086731,3.665191173553467,-1.2249314785003662,0.0,-0.7072141170501709,0.699999988079071,0.031317222863435745,0.0,-0.05421866476535797
156,3.0,0.0,0.0,0.30399999022483826,1.455287218093872,0.748633086681366,-0.7066541910171509,3.665191173553467,-1.2289232015609741,0.0,-0.7095187306404114,0.699999988079071,0.030782146379351616,0.0,-0.05329585447907448
157,3.0,0.0,0.0,0.30399999022483826,1.455287218093872,0.7453902959823608,-0.709896981716156,3.665191173553467,-1.2329148054122925,0.0,-0.7118233442306519,0.699999988079071,0.030274681746959686,0.0,-0.0524236299097538
158,3.0,0.0,0.0,0.30399999022483826,1.455287218093872,0.7421578168869019,-0.713129460811615,3.665191173553467,-1.2369065284729004,0.0,-0.7141279578208923,0.699999988079071,0.02976137399673462,0.0,-0.05152888968586922
159,3.0,0.0,0.0,0.30399999022483826,1.4552873373031616,0.7389360666275024,-0.7163512706756592,3.665191173553467,-1.2408981323242188,0.0,-0.716432511806488,0.699999988079071,0.029231565073132515,0.0,-0.05061576887965202
160,3.0,0.0,0.0,0.30399999022483826,1.455287218093872,0.7357242107391357,-0.7195630073547363,3.665191173553467,-1.2448899745941162,0.0,-0.7187371850013733,0.699999988079071,0.028728539124131203,0.0,-0.04974941536784172
161,3.0,0.0,0.0,0.30399999022483826,1.4552873373031616,0.7325230836868286,-0.722764253616333,3.665191173553467,-1.2488815784454346,0.0,-0.721041738986969,0.699999988079071,0.028228620067238808,0.0,-0.04888007044792175
162,3.0,0.0,0.0,0.30399999022483826,1.455287218093872,0.7293317317962646,-0.7259554862976074,3.665191173553467,-1.252873420715332,0.0,-0.7233464121818542,0.699999988079071,0.02773486264050007,0.0,-0.04802471399307251
163,3.0,0.0,0.0,0.30399999022483826,1.455287218093872,0.7261508703231812,-0.7291364073753357,3.665191173553467,-1.2568650245666504,0.0,-0.72565096616745,0.699999988079071,0.02723499946296215,0.0,-0.04715792462229729
164,3.0,0.0,0.0,0.30399999022483826,1.4552873373031616,0.7229799032211304,-0.7323074340820312,3.665191173553467,-1.2608568668365479,0.0,-0.7279556393623352,0.699999988079071,0.02674029767513275,0.0,-0.04630408436059952
165,3.0,0.0,0.0,0.30399999022483826,1.455287218093872,0.7198190689086914,-0.7354681491851807,3.665191173553467,-1.2648484706878662,0.0,-0.7302601933479309,0.699999988079071,0.026255866512656212,0.0,-0.0454631932079792
166,3.0,0.0,0.0,0.30399999022483826,1.455287218093872,0.7166681885719299,-0.7386190891265869,3.665191173553467,-1.2688400745391846,0.0,-0.7325648069381714,0.699999988079071,0.02578257955610752,0.0,-0.04464544728398323
167,3.0,0.0,0.0,0.30399999022483826,1.4552873373031616,0.7135272026062012,-0.7417601346969604,3.665191173553467,-1.2728317975997925,0.0,-0.7348694205284119,0.699999988079071,0.02529887855052948,0.0,-0.04380989447236061
168,3.0,0.0,0.0,0.30399999022483826,1.455287218093872,0.7103959918022156,-0.7448912858963013,3.665191173553467,-1.2768235206604004,0.0,-0.7371740341186523,0.699999988079071,0.02482862025499344,0.0,-0.042990926653146744
169,3.0,0.0,0.0,0.30399999022483826,1.455287218093872,0.7072745561599731,-0.7480126619338989,3.665191173553467,-1.2808152437210083,0.0,-0.7394786477088928,0.699999988079071,0.024343056604266167,0.0,-0.042159005999565125
170,3.0,0.0,0.0,0.30399999022483826,1.455287218093872,0.7041628956794739,-0.751124382019043,3.665191173553467,-1.2848069667816162,0.0,-0.7417832612991333,0.699999988079071,0.023877114057540894,0.0,-0.041350942105054855
171,3.0,0.0,0.0,0.30399999022483826,1.4552873373031616,0.7010608911514282,-0.7542264461517334,3.665191173553467,-1.2887986898422241,0.0,-0.7440878748893738,0.699999988079071,0.02342654950916767,0.0,-0.04057089239358902
172,3.0,0.0,0.0,0.30399999022483826,1.455287218093872,0.6979684829711914,-0.7573187351226807,3.665191173553467,-1.2927902936935425,0.0,-0.7463924288749695,0.699999988079071,0.022966934368014336,0.0,-0.03978046402335167
173,3.0,0.0,0.0,0.30399999022483826,1.455287218093872,0.6948854923248291,-0.760401725769043,3.665191173553467,-1.29678213596344,0.0,-0.7486971020698547,0.699999988079071,0.022515300661325455,0.0,-0.03899753838777542
174,3.0,0.0,0.0,0.30399999022483826,1.455287218093872,0.6918121576309204,-0.7634751200675964,3.665191173553467,-1.3007737398147583,0.0,-0.7510016560554504,0.699999988079071,0.02205023542046547,0.0,-0.038190580904483795
175,3.0,0.0,0.0,0.30399999022483826,1.455287218093872,0.6887480616569519,-0.7665392160415649,3.665191173553467,-1.3047654628753662,0.0,-0.7533063292503357,0.699999988079071,0.021615758538246155,0.0,-0.03743980452418327
176,3.0,0.0,0.0,0.30399999022483826,1.4552873373031616,0.6856935024261475,-0.7695938348770142,3.665191173553467,-1.3087570667266846,0.0,-0.7556108832359314,0.699999988079071,0.021173428744077682,0.0,-0.036665502935647964
177,3.0,0.0,0.0,0.30399999022483826,1.4552873373031616,0.6826480627059937,-0.772639274597168,3.665191173553467,-1.312748908996582,0.0,-0.7579155564308167,0.699999988079071,0.020730195567011833,0.0,-0.03590388223528862
178,3.0,0.0,0.0,0.30399999022483826,1.4552873373031616,0.6796120405197144,-0.7756752967834473,3.665191173553467,-1.3167405128479004,0.0,-0.7602201104164124,0.699999988079071,0.02030915766954422,0.0,-0.03517737612128258
179,3.0,0.0,0.0,0.30399999022483826,1.455287218093872,0.6765850782394409,-0.7787021994590759,3.665191173553467,-1.3207322359085083,0.0,-0.7625247240066528,0.699999988079071,0.019867341965436935,0.0,-0.03441105782985687
180,3.0,0.0,0.0,0.30399999022483826,1.455287218093872,0.6735672950744629,-0.781719982624054,3.665191173553467,-1.3247239589691162,0.0,-0.7648293375968933,0.699999988079071,0.019435729831457138,0.0,-0.033664021641016006
181,3.0,0.0,0.0,0.30399999022483826,1.455287218093872,0.6705585718154907,-0.7847286462783813,3.665191173553467,-1.3287156820297241,0.0,-0.7671339511871338,0.699999988079071,0.018996380269527435,0.0,-0.03290589153766632
182,3.0,0.0,0.0,0.30399999022483826,1.455287218093872,0.6675589084625244,-0.7877283692359924,3.665191173553467,-1.332707405090332,0.0,-0.7694385647773743,0.699999988079071,0.018558666110038757,0.0,-0.03214546665549278
183,3.0,0.0,0.0,0.30399999022483826,1.455287218093872,0.6645681858062744,-0.7907190918922424,3.665191173553467,-1.33669912815094,0.0,-0.7717431783676147,0.699999988079071,0.01816600374877453,0.0,-0.0314653180539608
184,3.0,0.0,0.0,0.30399999022483826,1.455287218093872,0.6615864038467407,-0.7937008738517761,3.665191173553467,-1.3406907320022583,0.0,-0.7740477919578552,0.699999988079071,0.017743045464158058,0.0,-0.030730266124010086
185,3.0,0.0,0.0,0.30399999022483826,1.455287218093872,0.6586134433746338,-0.7966737747192383,3.665191173553467,-1.3446824550628662,0.0,-0.7763524055480957,0.699999988079071,0.01732190139591694,0.0,-0.030006103217601776
186,3.0,0.0,0.0,0.30399999022483826,1.455287218093872,0.6556493639945984,-0.7996379137039185,3.665191173553467,-1.3486741781234741,0.0,-0.7786570191383362,0.699999988079071,0.016906747594475746,0.0,-0.029282331466674805
187,3.0,0.0,0.0,0.30399999022483826,1.4552873373031616,0.6526941061019897,-0.8025932312011719,3.665191173553467,-1.3526657819747925,0.0,-0.7809615731239319,0.699999988079071,0.01650433987379074,0.0,-0.028587259352207184
188,3.0,0.0,0.0,0.30399999022483826,1.4552873373031616,0.649747371673584,-0.8055399656295776,3.665191173553467,-1.35665762424469,0.0,-0.7832662463188171,0.699999988079071,0.01609746739268303,0.0,-0.02788286656141281
189,3.0,0.0,0.0,0.30399999022483826,1.4552873373031616,0.646809458732605,-0.8084778785705566,3.665191173553467,-1.3606492280960083,0.0,-0.7855708003044128,0.699999988079071,0.01569490134716034,0.0,-0.027186548337340355
