ptnum,Rout,L,lnRa,lnRb,theta,P_x,P_y,P_z,Rin,analytic_vortex_core_vel_x,analytic_vortex_core_vel_y,analytic_vortex_core_vel_z
197,2.0,0.6931471824645996,0.3604036271572113,-0.3327435553073883,0.0,1.3947895765304565,0.0,0.0,1.0,-4.1740045730875863e-07,0.0,0.07328641414642334
198,2.0,0.6931471824645996,0.3589678406715393,-0.3341793417930603,0.0,1.3967936038970947,0.0,0.0,1.0,-1.5771097139349877e-07,0.0,0.0714900940656662
199,2.0,0.6931471824645996,0.35753414034843445,-0.33561304211616516,0.0,1.398797631263733,0.0,0.0,1.0,-2.498473804735113e-06,0.0,0.06970486044883728
200,2.0,0.6931471824645996,0.35610249638557434,-0.33704468607902527,0.0,1.400801658630371,0.0,0.0,1.0,-3.320230845815786e-08,0.0,0.06793186068534851
201,2.0,0.6931471824645996,0.35467296838760376,-0.33847421407699585,0.0,1.4028055667877197,0.0,0.0,1.0,-9.960692892718725e-08,0.0,0.06616634875535965
202,2.0,0.6931471824645996,0.35324540734291077,-0.33990177512168884,0.0,1.404809594154358,0.0,0.0,1.0,-2.285030404891586e-06,0.0,0.06442620605230331
203,2.0,0.6931471824645996,0.35181987285614014,-0.3413273096084595,0.0,1.406813621520996,0.0,0.0,1.0,-1.0672171413261822e-07,0.0,0.06266169250011444
204,2.0,0.6931471824645996,0.35039636492729187,-0.34275081753730774,0.0,1.4088176488876343,0.0,0.0,1.0,1.8771163468045415e-06,0.0,0.06092667579650879
205,2.0,0.6931471824645996,0.34897491335868835,-0.34417226910591125,0.0,1.4108216762542725,0.0,0.0,1.0,4.2143219616264105e-06,0.0,0.059184908866882324
206,2.0,0.6931471824645996,0.3475555181503296,-0.34559166431427,0.0,1.412825584411621,0.0,0.0,1.0,1.9174333374394337e-06,0.0,0.05745357275009155
207,2.0,0.6931471824645996,0.34613800048828125,-0.34700918197631836,0.0,1.4148297309875488,0.0,0.0,1.0,-4.3755900946962356e-07,0.0,0.05575405806303024
208,2.0,0.6931471824645996,0.3447226285934448,-0.3484245538711548,0.0,1.4168336391448975,0.0,0.0,1.0,1.739563913361053e-06,0.0,0.054019201546907425
209,2.0,0.6931471824645996,0.3433091938495636,-0.349837988615036,0.0,1.4188376665115356,0.0,0.0,1.0,1.482246034356649e-06,0.0,0.052335482090711594
210,2.0,0.6931471824645996,0.34189775586128235,-0.35124942660331726,0.0,1.4208416938781738,0.0,0.0,1.0,-1.920990797543709e-07,0.0,0.050629157572984695
211,2.0,0.6931471824645996,0.3404882848262787,-0.3526588976383209,0.0,1.422845721244812,0.0,0.0,1.0,4.6246075413591825e-08,0.0,0.04894959554076195
212,2.0,0.6931471824645996,0.339080810546875,-0.3540663719177246,0.0,1.4248497486114502,0.0,0.0,1.0,4.2143219616264105e-06,0.0,0.047258250415325165
213,2.0,0.6931471824645996,0.33767539262771606,-0.35547178983688354,0.0,1.4268536567687988,0.0,0.0,1.0,-5.454665483739518e-07,0.0,0.04556695371866226
214,2.0,0.6931471824645996,0.33627188205718994,-0.35687530040740967,0.0,1.428857684135437,0.0,0.0,1.0,-1.318605995948019e-06,0.0,0.04391353577375412
215,2.0,0.6931471824645996,0.3348703384399414,-0.3582768440246582,0.0,1.4308617115020752,0.0,0.0,1.0,-1.3280923383263143e-07,0.0,0.04224815592169762
216,2.0,0.6931471824645996,0.33347073197364807,-0.35967645049095154,0.0,1.4328657388687134,0.0,0.0,1.0,-1.541535787907833e-08,0.0,0.04057583957910538
217,2.0,0.6931471824645996,0.3320730924606323,-0.3610740900039673,0.0,1.4348697662353516,0.0,0.0,1.0,-2.681086471056915e-06,0.0,0.03892570361495018
218,2.0,0.6931471824645996,0.33067741990089417,-0.36246976256370544,0.0,1.4368737936019897,0.0,0.0,1.0,9.55752170739288e-07,0.0,0.03727526590228081
219,2.0,0.6931471824645996,0.3292836546897888,-0.3638635277748108,0.0,1.438877820968628,0.0,0.0,1.0,-2.751048668869771e-07,0.0,0.03563210368156433
220,2.0,0.6931471824645996,0.3278919458389282,-0.3652552366256714,0.0,1.4408817291259766,0.0,0.0,1.0,-2.6561846766526287e-07,0.0,0.03399210795760155
221,2.0,0.6931471824645996,0.32650208473205566,-0.36664509773254395,0.0,1.4428857564926147,0.0,0.0,1.0,-3.960561230087478e-07,0.0,0.032344475388526917
222,2.0,0.6931471824645996,0.3251141309738159,-0.3680330514907837,0.0,1.444889783859253,0.0,0.0,1.0,-8.893476177718185e-08,0.0,0.030723415315151215
223,2.0,0.6931471824645996,0.32372811436653137,-0.36941906809806824,0.0,1.4468938112258911,0.0,0.0,1.0,-2.4664573174959514e-06,0.0,0.029106197878718376
224,2.0,0.6931471824645996,0.322344034910202,-0.3708031475543976,0.0,1.4488978385925293,0.0,0.0,1.0,-7.197786544566043e-07,0.0,0.02748527005314827
225,2.0,0.6931471824645996,0.32096192240715027,-0.37218526005744934,0.0,1.450901746749878,0.0,0.0,1.0,-1.6601154584350297e-07,0.0,0.02586919069290161
226,2.0,0.6931471824645996,0.31958165764808655,-0.37356552481651306,0.0,1.4529057741165161,0.0,0.0,1.0,-1.4585300789349276e-07,0.0,0.024264201521873474
227,2.0,0.6931471824645996,0.31820327043533325,-0.37494391202926636,0.0,1.4549098014831543,0.0,0.0,1.0,6.508838396257488e-06,0.0,0.02266734093427658
228,2.0,0.6931471824645996,0.31682679057121277,-0.37632039189338684,0.0,1.4569138288497925,0.0,0.0,1.0,5.691824611631091e-08,0.0,0.021049989387392998
229,2.0,0.6931471824645996,0.3154522180557251,-0.3776949644088745,0.0,1.4589178562164307,0.0,0.0,1.0,-2.5684357751742937e-06,0.0,0.019452644512057304
230,2.0,0.6931471824645996,0.31407952308654785,-0.37906765937805176,0.0,1.4609218835830688,0.0,0.0,1.0,-9.474516105001385e-07,0.0,0.01785311847925186
231,2.0,0.6931471824645996,0.31270870566368103,-0.3804384768009186,0.0,1.462925910949707,0.0,0.0,1.0,-2.0466852674871916e-06,0.0,0.016266580671072006
232,2.0,0.6931471824645996,0.3113398551940918,-0.3818073272705078,0.0,1.4649298191070557,0.0,0.0,1.0,-2.751048668869771e-07,0.0,0.014664397574961185
233,2.0,0.6931471824645996,0.3099727928638458,-0.3831743896007538,0.0,1.4669338464736938,0.0,0.0,1.0,3.1305035008699633e-07,0.0,0.01308726891875267
234,2.0,0.6931471824645996,0.3086075782775879,-0.3845396041870117,0.0,1.468937873840332,0.0,0.0,1.0,2.563692760304548e-06,0.0,0.011503973975777626
235,2.0,0.6931471824645996,0.3072442412376404,-0.38590294122695923,0.0,1.4709419012069702,0.0,0.0,1.0,3.794549741087394e-07,0.0,0.009919218719005585
236,2.0,0.6931471824645996,0.3058827519416809,-0.3872644305229187,0.0,1.4729459285736084,0.0,0.0,1.0,-2.3478776256524725e-07,0.0,0.00835002027451992
237,2.0,0.6931471824645996,0.30452319979667664,-0.388623982667923,0.0,1.474949836730957,0.0,0.0,1.0,7.446803920174716e-07,0.0,0.006786296144127846
238,2.0,0.6931471824645996,0.30316534638404846,-0.38998183608055115,0.0,1.4769539833068848,0.0,0.0,1.0,1.0352006256653112e-06,0.0,0.005215058568865061
239,2.0,0.6931471824645996,0.3018094599246979,-0.39133772253990173,0.0,1.4789578914642334,0.0,0.0,1.0,-9.130635447718305e-08,0.0,0.0036562669556587934
240,2.0,0.6931471824645996,0.30045536160469055,-0.39269182085990906,0.0,1.4809619188308716,0.0,0.0,1.0,-5.810404104522604e-07,0.0,0.002089449902996421
241,2.0,0.6931471824645996,0.2991030812263489,-0.39404410123825073,0.0,1.4829659461975098,0.0,0.0,1.0,2.4095390926959226e-06,0.0,0.0004947144188918173
242,2.0,0.6931471824645996,0.29775261878967285,-0.39539456367492676,0.0,1.484969973564148,0.0,0.0,1.0,2.4427413336525206e-07,0.0,-0.0010447343811392784
243,2.0,0.6931471824645996,0.29640400409698486,-0.39674317836761475,0.0,1.4869740009307861,0.0,0.0,1.0,0.0,0.0,-0.002581498585641384
244,2.0,0.6931471824645996,0.2950572669506073,-0.3980899155139923,0.0,1.4889779090881348,0.0,0.0,1.0,1.0316431797718906e-07,0.0,-0.004169071558862925
245,2.0,0.6931471824645996,0.2937122583389282,-0.3994349241256714,0.0,1.490981936454773,0.0,0.0,1.0,8.419156927175209e-08,0.0,-0.005706746596843004
246,2.0,0.6931471824645996,0.2923690676689148,-0.4007781147956848,0.0,1.4929859638214111,0.0,0.0,1.0,2.1937241001523944e-07,0.0,-0.007272055372595787
247,2.0,0.6931471824645996,0.29102766513824463,-0.402119517326355,0.0,1.4949899911880493,0.0,0.0,1.0,7.826258752174908e-08,0.0,-0.008820193819701672
248,2.0,0.6931471824645996,0.2896880805492401,-0.4034591019153595,0.0,1.4969940185546875,0.0,0.0,1.0,-3.758975708478829e-07,0.0,-0.010383348912000656
249,2.0,0.6931471824645996,0.28835025429725647,-0.40479692816734314,0.0,1.4989980459213257,0.0,0.0,1.0,1.766837272043631e-07,0.0,-0.011923585087060928
250,2.0,0.6931471824645996,0.2870142459869385,-0.40613293647766113,0.0,1.5010020732879639,0.0,0.0,1.0,2.1605217170872493e-06,0.0,-0.01347668468952179
