ptnum,bary_x,bary_y,bary_z,Cd_x,Cd_y,Cd_z,Rout,faceid,theta,P_x,P_y,P_z,vortex_core_vel_x,vortex_core_vel_y,vortex_core_vel_z,Rin,gamma
338,0.7487879991531372,0.07096835225820541,0.18024367094039917,1.0,0.0,0.0,3.0,1344,0.0,2.257915735244751,0.0,6.0412475022531e-09,7.168002048274502e-05,0.0,-0.07242327928543091,0.699999988079071,1.0
339,0.7482289671897888,0.09351284056901932,0.15825819969177246,1.0,0.0,0.0,3.0,1344,0.0,2.2625250816345215,0.0,4.599567837715313e-09,0.00042997620766982436,0.0,-0.07275184243917465,0.699999988079071,1.0
340,0.7476699948310852,0.1160561665892601,0.13627387583255768,1.0,0.0,0.0,3.0,1344,0.0,2.267134189605713,0.0,5.6680518056850815e-09,0.0007831966504454613,0.0,-0.07306484878063202,0.699999988079071,1.0
341,0.7471109628677368,0.1386006474494934,0.11428841203451157,1.0,0.0,0.0,3.0,1344,0.0,2.2717435359954834,0.0,4.259688157759456e-09,0.001131377532146871,0.0,-0.0733623132109642,0.699999988079071,1.0
342,0.7465519309043884,0.161143958568573,0.09230408817529678,1.0,0.0,0.0,3.0,1344,0.0,2.276352643966675,0.0,2.707634783050139e-09,0.0014744831714779139,0.0,-0.07364420592784882,0.699999988079071,1.0
343,0.74599289894104,0.1836884617805481,0.07031862437725067,1.0,0.0,0.0,3.0,1344,0.0,2.2809619903564453,0.0,5.2300768160762345e-09,0.0018125493079423904,0.0,-0.07391057908535004,0.699999988079071,1.0
344,0.7454339265823364,0.20623177289962769,0.04833430051803589,1.0,0.0,0.0,3.0,1344,0.0,2.2855710983276367,0.0,3.6780236634115226e-09,0.0021455402020365,0.0,-0.07416138797998428,0.699999988079071,1.0
345,0.7448749542236328,0.22877508401870728,0.026349976658821106,1.0,0.0,0.0,3.0,1344,0.0,2.290180206298828,0.0,2.1259705107468108e-09,0.0024734740145504475,0.0,-0.07439665496349335,0.699999988079071,1.0
346,0.7443159818649292,0.25131955742836,0.004364514723420143,1.0,0.0,0.0,3.0,1344,0.0,2.2947895526885986,0.0,-2.567654699969779e-10,0.0027963672764599323,0.0,-0.07461638003587723,0.699999988079071,1.0
347,0.25439953804016113,0.7266317009925842,0.018968774005770683,1.0,0.0,0.0,3.0,964,0.0,2.29939866065979,0.0,-6.700624055611115e-09,0.0025678963866084814,0.0,-0.07588456571102142,0.699999988079071,1.0
348,0.25265833735466003,0.704704225063324,0.04263744875788689,1.0,0.0,0.0,3.0,964,0.0,2.3040080070495605,0.0,1.872689336934741e-09,0.0022220092359930277,0.0,-0.07740333676338196,0.699999988079071,1.0
349,0.25091710686683655,0.682778000831604,0.06630489975214005,1.0,0.0,0.0,3.0,964,0.0,2.308617115020752,0.0,-1.0300105657279346e-08,0.0018965898780152202,0.0,-0.0789092406630516,0.699999988079071,1.0
350,0.24917590618133545,0.6608505249023438,0.0899735689163208,1.0,0.0,0.0,3.0,964,0.0,2.3132264614105225,0.0,-8.163851816789247e-10,0.0015916083939373493,0.0,-0.0804024413228035,0.699999988079071,1.0
351,0.24743473529815674,0.638924241065979,0.11364102363586426,1.0,0.0,0.0,3.0,964,0.0,2.317835569381714,0.0,-3.113969082590984e-09,0.001307093189097941,0.0,-0.0818827748298645,0.699999988079071,1.0
352,0.24569347500801086,0.6169968247413635,0.1373097002506256,1.0,0.0,0.0,3.0,964,0.0,2.3224449157714844,0.0,-5.326272756178696e-09,0.001043015974573791,0.0,-0.08335039764642715,0.699999988079071,1.0
353,0.24395231902599335,0.5950705409049988,0.16097714006900787,1.0,0.0,0.0,3.0,964,0.0,2.327054023742676,0.0,-5.196105767879544e-09,0.0007994044572114944,0.0,-0.08480515331029892,0.699999988079071,1.0
354,0.24221105873584747,0.5731431245803833,0.18464581668376923,1.0,0.0,0.0,3.0,964,0.0,2.3316633701324463,0.0,-7.408409441467256e-09,0.0005762326181866229,0.0,-0.08624719828367233,0.699999988079071,1.0
355,0.24046988785266876,0.5512168407440186,0.20831327140331268,1.0,0.0,0.0,3.0,964,0.0,2.3362724781036377,0.0,-9.705993342379315e-09,0.00037352388608269393,0.0,-0.08767638355493546,0.699999988079071,1.0
356,0.23872868716716766,0.5292893648147583,0.23198194801807404,1.0,0.0,0.0,3.0,964,0.0,2.340881824493408,0.0,-1.4361485334291046e-09,0.0001912587322294712,0.0,-0.08909285813570023,0.699999988079071,1.0
357,0.23698747158050537,0.5073631405830383,0.2556493878364563,1.0,0.0,0.0,3.0,964,0.0,2.3454909324645996,0.0,-1.1788130471757086e-08,2.9452381568262354e-05,0.0,-0.0904964730143547,0.699999988079071,1.0
358,0.23524636030197144,0.4854368269443512,0.27931684255599976,1.0,0.0,0.0,3.0,964,0.0,2.350100040435791,0.0,-8.844639687310973e-09,-0.00011190068471478298,0.0,-0.09188730269670486,0.699999988079071,1.0
359,0.23350510001182556,0.46350938081741333,0.3029855191707611,1.0,0.0,0.0,3.0,964,0.0,2.3547093868255615,0.0,-5.815869563718934e-09,-0.0002328094415133819,0.0,-0.09326541423797607,0.699999988079071,1.0
360,0.23176392912864685,0.4415830969810486,0.32665297389030457,1.0,0.0,0.0,3.0,964,0.0,2.359318494796753,0.0,-8.113453020541783e-09,-0.00033326048287563026,0.0,-0.094630666077137,0.699999988079071,1.0
361,0.23002266883850098,0.4196556806564331,0.3503216505050659,1.0,0.0,0.0,3.0,964,0.0,2.3639278411865234,0.0,-1.0325756250040286e-08,-0.000413264031521976,0.0,-0.09598319977521896,0.699999988079071,1.0
362,0.22828149795532227,0.39772936701774597,0.3739891052246094,1.0,0.0,0.0,3.0,964,0.0,2.368536949157715,0.0,-7.382266353772593e-09,-0.00047281160368584096,0.0,-0.09732287377119064,0.699999988079071,1.0
363,0.22654032707214355,0.3758019506931305,0.39765775203704834,1.0,0.0,0.0,3.0,964,0.0,2.3731462955474854,0.0,-4.739069137116303e-09,-0.0005119076813571155,0.0,-0.09864984452724457,0.699999988079071,1.0
364,0.22479912638664246,0.35387566685676575,0.4213252365589142,1.0,0.0,0.0,3.0,964,0.0,2.3777554035186768,0.0,-1.1892153928272364e-08,-0.000530552992131561,0.0,-0.0999639555811882,0.699999988079071,1.0
365,0.22305789589881897,0.3319482207298279,0.44499388337135315,1.0,0.0,0.0,3.0,964,0.0,2.3823647499084473,0.0,-4.007882026257903e-09,-0.0005287446547299623,0.0,-0.1012653335928917,0.699999988079071,1.0
366,0.22131672501564026,0.31002193689346313,0.4686613380908966,1.0,0.0,0.0,3.0,964,0.0,2.3869738578796387,0.0,-6.305466371259172e-09,-0.0005064858705736697,0.0,-0.10255386680364609,0.699999988079071,1.0
367,0.219575434923172,0.28809452056884766,0.49233004450798035,1.0,0.0,0.0,3.0,964,0.0,2.391583204269409,0.0,-1.3373270491001676e-08,-0.0004637740785256028,0.0,-0.10382968187332153,0.699999988079071,1.0
368,0.21783429384231567,0.2661682069301605,0.5159974694252014,1.0,0.0,0.0,3.0,964,0.0,2.3961923122406006,0.0,-5.574279260400772e-09,-0.0004006109666079283,0.0,-0.10509263724088669,0.699999988079071,1.0
369,0.2160930633544922,0.24424080550670624,0.5396661162376404,1.0,0.0,0.0,3.0,964,0.0,2.400801658630371,0.0,-5.5516191643789625e-09,-0.0003169923147652298,0.0,-0.1063428744673729,0.699999988079071,1.0
370,0.21435195207595825,0.2223145067691803,0.5633335709571838,1.0,0.0,0.0,3.0,964,0.0,2.4054107666015625,0.0,-5.228665944656541e-09,-0.00021292557357810438,0.0,-0.1075802743434906,0.699999988079071,1.0
371,0.21261078119277954,0.20038820803165436,0.5870010256767273,1.0,0.0,0.0,3.0,964,0.0,2.410019874572754,0.0,-4.905712724934119e-09,-8.840899681672454e-05,0.0,-0.1088048666715622,0.699999988079071,1.0
372,0.21086949110031128,0.17846077680587769,0.610669732093811,1.0,0.0,0.0,3.0,964,0.0,2.4146292209625244,0.0,-9.352979724042143e-09,5.656593930325471e-05,0.0,-0.11001674085855484,0.699999988079071,1.0
373,0.20912832021713257,0.15653449296951294,0.6343371868133545,1.0,0.0,0.0,3.0,964,0.0,2.419238328933716,0.0,-1.1650564069043412e-08,0.0002219856105512008,0.0,-0.11121577024459839,0.699999988079071,1.0
374,0.2073870301246643,0.13460707664489746,0.6580058932304382,1.0,0.0,0.0,3.0,964,0.0,2.4238476753234863,0.0,-1.8718367300607497e-08,0.0004078657366335392,0.0,-0.11240207403898239,0.699999988079071,1.0
375,0.2056458592414856,0.11268076300621033,0.6816733479499817,1.0,0.0,0.0,3.0,964,0.0,2.4284567832946777,0.0,-1.5774878292518224e-08,0.000614189135376364,0.0,-0.1135755181312561,0.699999988079071,1.0
376,0.20390468835830688,0.09075334668159485,0.7053419947624207,1.0,0.0,0.0,3.0,964,0.0,2.4330661296844482,0.0,-1.3131680631772724e-08,0.000840977649204433,0.0,-0.11473625898361206,0.699999988079071,1.0
377,0.20216351747512817,0.06882704049348831,0.7290094494819641,1.0,0.0,0.0,3.0,964,0.0,2.4376752376556396,0.0,-1.1498459073777667e-08,0.001088203745894134,0.0,-0.11588413268327713,0.699999988079071,1.0
378,0.2004222869873047,0.04689961299300194,0.7526780962944031,1.0,0.0,0.0,3.0,964,0.0,2.44228458404541,0.0,-6.889858461534004e-09,0.001355896471068263,0.0,-0.11701928079128265,0.699999988079071,1.0
379,0.19868111610412598,0.02497333474457264,0.7763455510139465,1.0,0.0,0.0,3.0,964,0.0,2.4468936920166016,0.0,-1.0170143838195145e-08,0.0016440259059891105,0.0,-0.11814159154891968,0.699999988079071,1.0
380,0.19693982601165771,0.0030459125991910696,0.8000142574310303,1.0,0.0,0.0,3.0,964,0.0,2.451503038406372,0.0,-1.6214301012951182e-08,0.0019526223186403513,0.0,-0.11925116926431656,0.699999988079071,1.0
381,0.8059127330780029,0.016200853511691093,0.1778864562511444,1.0,0.0,0.0,3.0,91,0.0,2.4561121463775635,0.0,7.041734972901281e-10,0.0013798812869936228,0.0,-0.11895392835140228,0.699999988079071,1.0
382,0.8089447617530823,0.03501630201935768,0.15603892505168915,1.0,0.0,0.0,3.0,91,0.0,2.460721492767334,0.0,1.650566128219566e-09,0.0006919926963746548,0.0,-0.11845529079437256,0.699999988079071,1.0
383,0.8119766712188721,0.05383078381419182,0.13419251143932343,1.0,0.0,0.0,3.0,91,0.0,2.4653306007385254,0.0,1.7969330468048383e-09,3.5250741348136216e-05,0.0,-0.11798293888568878,0.699999988079071,1.0
384,0.8150087594985962,0.07264623045921326,0.11234497278928757,1.0,0.0,0.0,3.0,91,0.0,2.469939947128296,0.0,1.1770779906328244e-09,-0.0005904121208004653,0.0,-0.11753681302070618,0.699999988079071,1.0
385,0.8180407285690308,0.0914607122540474,0.09049855917692184,1.0,0.0,0.0,3.0,91,0.0,2.4745490550994873,0.0,1.3234449092180967e-09,-0.0011849316069856286,0.0,-0.11711696535348892,0.699999988079071,1.0
386,0.8210726380348206,0.11027519404888153,0.06865214556455612,1.0,0.0,0.0,3.0,91,0.0,2.4791581630706787,0.0,1.469811827803369e-09,-0.0017483403207734227,0.0,-0.11672335863113403,0.699999988079071,1.0
387,0.8241047263145447,0.12909063696861267,0.046804606914520264,1.0,0.0,0.0,3.0,91,0.0,2.483767509460449,0.0,1.4521184255045227e-10,-0.002280665095895529,0.0,-0.11635597795248032,0.699999988079071,1.0
388,0.8271366953849792,0.1479051113128662,0.02495819702744484,1.0,0.0,0.0,3.0,91,0.0,2.4883766174316406,0.0,-5.109734857455805e-10,-0.002781851449981332,0.0,-0.11601487547159195,0.699999988079071,1.0
389,0.8301687836647034,0.16672056913375854,0.003110654652118683,1.0,0.0,0.0,3.0,91,0.0,2.492985963821411,0.0,3.764686340446133e-10,-0.003251950489357114,0.0,-0.11569999903440475,0.699999988079071,1.0
390,0.16841550171375275,0.809044599533081,0.0225398950278759,1.0,0.0,0.0,3.0,966,0.0,2.4975950717926025,0.0,3.659184955040473e-09,-0.003417188534513116,0.0,-0.11970189958810806,0.699999988079071,1.0
391,0.1672680526971817,0.7839085459709167,0.04882340505719185,1.0,0.0,0.0,3.0,966,0.0,2.502204418182373,0.0,4.708999412628145e-09,-0.0035473352763801813,0.0,-0.12430408596992493,0.699999988079071,1.0
392,0.16612067818641663,0.7587738037109375,0.07510551065206528,1.0,0.0,0.0,3.0,966,0.0,2.5068135261535645,0.0,1.1778230835091108e-08,-0.0036909999325871468,0.0,-0.12878310680389404,0.699999988079071,1.0
393,0.16497322916984558,0.7336377501487732,0.10138902068138123,1.0,0.0,0.0,3.0,966,0.0,2.511422872543335,0.0,1.282804529267878e-08,-0.003848198102787137,0.0,-0.1331394612789154,0.699999988079071,1.0
394,0.1638258695602417,0.708503007888794,0.12767112255096436,1.0,0.0,0.0,3.0,966,0.0,2.5160319805145264,0.0,2.0571254921719628e-08,-0.004018913488835096,0.0,-0.1373726725578308,0.699999988079071,1.0
395,0.16267840564250946,0.6833669543266296,0.1539546400308609,1.0,0.0,0.0,3.0,966,0.0,2.520641326904297,0.0,2.027311296615153e-08,-0.004203163553029299,0.0,-0.14148317277431488,0.699999988079071,1.0
396,0.16153095662593842,0.6582322716712952,0.18023677170276642,1.0,0.0,0.0,3.0,966,0.0,2.5252504348754883,0.0,1.134858162998853e-08,-0.004400927573442459,0.0,-0.14547055959701538,0.699999988079071,1.0
397,0.16038353741168976,0.6330962181091309,0.20652024447917938,1.0,0.0,0.0,3.0,966,0.0,2.529859781265259,0.0,1.9138173712462958e-08,-0.004612229764461517,0.0,-0.14933522045612335,0.699999988079071,1.0
398,0.1592360883951187,0.6079615354537964,0.2328023761510849,1.0,0.0,0.0,3.0,966,0.0,2.53446888923645,0.0,1.0213641488121539e-08,-0.004837044049054384,0.0,-0.15307678282260895,0.699999988079071,1.0
399,0.15808868408203125,0.5828267931938171,0.2590845227241516,1.0,0.0,0.0,3.0,966,0.0,2.5390779972076416,0.0,9.86911707911986e-09,-0.005075383931398392,0.0,-0.1566954255104065,0.699999988079071,1.0
400,0.1569412350654602,0.5576907396316528,0.28536802530288696,1.0,0.0,0.0,3.0,966,0.0,2.543687343597412,0.0,1.2266887061684884e-08,-0.005327262450009584,0.0,-0.1601913422346115,0.699999988079071,1.0
401,0.15579384565353394,0.5325559973716736,0.3116501569747925,1.0,0.0,0.0,3.0,966,0.0,2.5482964515686035,0.0,1.4618274590816327e-08,-0.005592653062194586,0.0,-0.16356416046619415,0.699999988079071,1.0
402,0.15464642643928528,0.5074199438095093,0.33793362975120544,1.0,0.0,0.0,3.0,966,0.0,2.552905797958374,0.0,2.2407865785112335e-08,-0.005871584638953209,0.0,-0.16681423783302307,0.699999988079071,1.0
403,0.15349894762039185,0.4822852611541748,0.36421579122543335,1.0,0.0,0.0,3.0,966,0.0,2.5575149059295654,0.0,8.091512349039931e-09,-0.006164021790027618,0.0,-0.1699412316083908,0.699999988079071,1.0
404,0.1523514986038208,0.4571492075920105,0.3904992938041687,1.0,0.0,0.0,3.0,966,0.0,2.562124252319336,0.0,1.0489282331604954e-08,-0.006470003630965948,0.0,-0.17294546961784363,0.699999988079071,1.0
405,0.15120410919189453,0.43201446533203125,0.4167814254760742,1.0,0.0,0.0,3.0,966,0.0,2.5667333602905273,0.0,1.2840668972557978e-08,-0.006789494771510363,0.0,-0.17582663893699646,0.699999988079071,1.0
406,0.1500566303730011,0.40687844157218933,0.4430648982524872,1.0,0.0,0.0,3.0,966,0.0,2.571342706680298,0.0,1.4992302510563604e-08,-0.007122526410967112,0.0,-0.178585022687912,0.699999988079071,1.0
407,0.1489093005657196,0.3817436993122101,0.4693470299243927,1.0,0.0,0.0,3.0,966,0.0,2.5759518146514893,0.0,1.7343689151516628e-08,-0.007469071075320244,0.0,-0.1812203824520111,0.699999988079071,1.0
