ptnum,bary_x,bary_y,bary_z,Rout,faceid,theta,P_x,P_y,P_z,Rin,vortex_core_vel_x,vortex_core_vel_y,vortex_core_vel_z,gamma
420,0.28387129306793213,0.1476985216140747,0.5684301853179932,2.0,1900,0.0,1.8416833877563477,0.0,-1.641177194144916e-09,1.0,0.006340357009321451,0.0,-0.46673762798309326,1.0
421,0.29337555170059204,0.15884268283843994,0.547781765460968,2.0,1900,0.0,1.8436874151229858,0.0,-1.0160299268591189e-09,1.0,0.0061467597261071205,0.0,-0.47243210673332214,1.0
422,0.3028797507286072,0.16998682916164398,0.5271334052085876,2.0,1900,0.0,1.845691442489624,0.0,1.6747718767362585e-09,1.0,0.005959168076515198,0.0,-0.4782485067844391,1.0
423,0.3123834729194641,0.1811303198337555,0.5064862370491028,2.0,1900,0.0,1.8476953506469727,0.0,2.898184803257209e-09,1.0,0.005777591839432716,0.0,-0.48418664932250977,1.0
424,0.321888267993927,0.19227513670921326,0.48583656549453735,2.0,1900,0.0,1.8496994972229004,0.0,1.1425462798086983e-09,1.0,0.0056019979529082775,0.0,-0.49024736881256104,1.0
425,0.33139199018478394,0.20341861248016357,0.4651893973350525,2.0,1900,0.0,1.851703405380249,0.0,5.834389082970404e-10,1.0,0.005432430654764175,0.0,-0.4964294135570526,1.0
426,0.34089624881744385,0.21456275880336761,0.44454097747802734,2.0,1900,0.0,1.8537074327468872,0.0,-5.739340114274682e-10,1.0,0.0052688573487102985,0.0,-0.5027337670326233,1.0
427,0.35040047764778137,0.22570690512657166,0.4238925874233246,2.0,1900,0.0,1.8557114601135254,0.0,1.9278048601911735e-10,1.0,0.00511128967627883,0.0,-0.5091601610183716,1.0
428,0.3599042594432831,0.23685041069984436,0.40324535965919495,2.0,1900,0.0,1.857715368270874,0.0,-6.49461373569693e-10,1.0,0.0049597350880503654,0.0,-0.5157082080841064,1.0
429,0.3694089949131012,0.24799522757530212,0.3825957477092743,2.0,1900,0.0,1.8597195148468018,0.0,1.4430748818128336e-09,1.0,0.0048141684383153915,0.0,-0.5223788619041443,1.0
430,0.3789127469062805,0.25913870334625244,0.36194854974746704,2.0,1900,0.0,1.8617234230041504,0.0,-1.0401197680920404e-09,1.0,0.004674622789025307,0.0,-0.5291708111763,1.0
431,0.38841697573661804,0.2702828645706177,0.3413001596927643,2.0,1900,0.0,1.8637274503707886,0.0,1.5091148330981241e-09,1.0,0.004541074391454458,0.0,-0.5360850691795349,1.0
432,0.39792123436927795,0.2814269959926605,0.32065173983573914,2.0,1900,0.0,1.8657314777374268,0.0,-1.4307782736366903e-09,1.0,0.004413530230522156,0.0,-0.543121337890625,1.0
433,0.40742549300193787,0.29257115721702576,0.300003319978714,2.0,1900,0.0,1.867735505104065,0.0,-8.056310063508931e-10,1.0,0.004291991703212261,0.0,-0.5502796173095703,1.0
434,0.4169297218322754,0.303715318441391,0.27935492992401123,2.0,1900,0.0,1.8697395324707031,0.0,1.7436035948392714e-09,1.0,0.0041764578782022,0.0,-0.5575598478317261,1.0
435,0.4264334738254547,0.3148587942123413,0.258707731962204,2.0,1900,0.0,1.8717434406280518,0.0,-7.395911660879051e-10,1.0,0.004066934809088707,0.0,-0.5649616718292236,1.0
436,0.43593829870224,0.3260036110877991,0.23805810511112213,2.0,1900,0.0,1.8737475872039795,0.0,3.909014778535891e-10,1.0,0.003963404800742865,0.0,-0.572486400604248,1.0
437,0.44544196128845215,0.3371470868587494,0.21741092205047607,2.0,1900,0.0,1.8757514953613281,0.0,-1.1302495606102525e-09,1.0,0.0038658909033983946,0.0,-0.5801320672035217,1.0
438,0.45494621992111206,0.3482912480831146,0.19676251709461212,2.0,1900,0.0,1.8777555227279663,0.0,4.5694137362772835e-10,1.0,0.0037743765860795975,0.0,-0.5879002809524536,1.0
439,0.46445053815841675,0.35943537950515747,0.17611409723758698,2.0,1900,0.0,1.8797595500946045,0.0,-2.4829516220847836e-09,1.0,0.003688866039738059,0.0,-0.5957905054092407,1.0
440,0.4739542007446289,0.3705788552761078,0.15546691417694092,2.0,1900,0.0,1.8817634582519531,0.0,-4.004102827082079e-09,1.0,0.0036093657836318016,0.0,-0.6038021445274353,1.0
441,0.4834590554237366,0.38172367215156555,0.13481728732585907,2.0,1900,0.0,1.8837676048278809,0.0,-2.873610016607131e-09,1.0,0.0035358613822609186,0.0,-0.6119368076324463,1.0
442,0.49296268820762634,0.39286717772483826,0.11417010426521301,2.0,1900,0.0,1.8857715129852295,0.0,-8.297208475838147e-10,1.0,0.003468370996415615,0.0,-0.6201924085617065,1.0
443,0.5024669170379639,0.4040113389492035,0.09352169185876846,2.0,1900,0.0,1.8877755403518677,0.0,2.764481976669231e-10,1.0,0.0034068808890879154,0.0,-0.6285704374313354,1.0
444,0.5119711756706238,0.4151555001735687,0.07287327945232391,2.0,1900,0.0,1.8897795677185059,0.0,1.3826172429176609e-09,1.0,0.0033513957168906927,0.0,-0.6370705366134644,1.0
445,0.5214754939079285,0.4262996315956116,0.052224867045879364,2.0,1900,0.0,1.891783595085144,0.0,-1.0762539748299105e-09,1.0,0.003301914082840085,0.0,-0.6456927061080933,1.0
446,0.5309797525405884,0.4374437928199768,0.03157646209001541,2.0,1900,0.0,1.8937876224517822,0.0,5.109369594080704e-10,1.0,0.0032584387809038162,0.0,-0.6544367671012878,1.0
447,0.5404834151268005,0.4485872685909271,0.010929279029369354,2.0,1900,0.0,1.8957915306091309,0.0,-1.01021402354462e-09,1.0,0.00322097004391253,0.0,-0.6633022427558899,1.0
448,0.45032909512519836,0.5405247211456299,0.009146178141236305,2.0,1236,0.0,1.8977956771850586,0.0,-8.289916531012409e-10,1.0,0.0037036819849163294,0.0,-0.6771058440208435,1.0
449,0.4414995610713959,0.5299267172813416,0.02857373096048832,2.0,1236,0.0,1.8997995853424072,0.0,-8.051517230711625e-10,1.0,0.0047335573472082615,0.0,-0.6954239010810852,1.0
450,0.4326695203781128,0.5193280577659607,0.04800243675708771,2.0,1236,0.0,1.9018036127090454,0.0,2.4109105822844867e-09,1.0,0.005719391629099846,0.0,-0.7124792337417603,1.0
451,0.4238394498825073,0.5087293982505798,0.06743115186691284,2.0,1236,0.0,1.9038076400756836,0.0,5.019229032399153e-09,1.0,0.00666112219914794,0.0,-0.7282707095146179,1.0
452,0.41500991582870483,0.4981313943862915,0.08685870468616486,2.0,1236,0.0,1.9058115482330322,0.0,5.043069073451534e-09,1.0,0.007558697834610939,0.0,-0.7427975535392761,1.0
453,0.406179279088974,0.4875321388244629,0.10628857463598251,2.0,1236,0.0,1.90781569480896,0.0,3.5919804908246533e-09,1.0,0.00841227825731039,0.0,-0.7560621500015259,1.0
454,0.3973497450351715,0.47693413496017456,0.12571612000465393,2.0,1236,0.0,1.9098196029663086,0.0,4.102015616069821e-09,1.0,0.009221653454005718,0.0,-0.7680613994598389,1.0
455,0.3885197043418884,0.4663354754447937,0.14514483511447906,2.0,1236,0.0,1.9118236303329468,0.0,6.710334066184487e-09,1.0,0.009986971504986286,0.0,-0.7787976264953613,1.0
456,0.3796895742416382,0.4557368755340576,0.164573535323143,2.0,1236,0.0,1.913827657699585,0.0,3.1609617145988977e-09,1.0,0.010708198882639408,0.0,-0.7882699370384216,1.0
