ptnum,analytic_vortex_core_vel_x,analytic_vortex_core_vel_y,analytic_vortex_core_vel_z,P_x,P_y,P_z,id,gamma
197,-0.1369737982749939,0.0,-0.5108296275138855,1.797332525253296,0.0,-0.48193731904029846,0,1.0
198,-0.13552139699459076,0.0,-0.5112168192863464,1.7986949682235718,0.0,-0.47682711482048035,0,1.0
199,-0.13406720757484436,0.0,-0.5115962028503418,1.8000428676605225,0.0,-0.4717130661010742,0,1.0
200,-0.13261264562606812,0.0,-0.5119751691818237,1.801376223564148,0.0,-0.46659520268440247,0,1.0
201,-0.13115699589252472,0.0,-0.5123500227928162,1.8026950359344482,0.0,-0.4614735543727875,0,1.0
202,-0.12970030307769775,0.0,-0.5127207040786743,1.8039993047714233,0.0,-0.456348180770874,0,1.0
203,-0.12824255228042603,0.0,-0.513087272644043,1.8052890300750732,0.0,-0.4512191116809845,0,1.0
204,-0.12678377330303192,0.0,-0.5134496688842773,1.806564211845398,0.0,-0.44608640670776367,0,1.0
205,-0.12532396614551544,0.0,-0.5138079524040222,1.807824730873108,0.0,-0.44095009565353394,0,1.0
206,-0.12386313080787659,0.0,-0.514162003993988,1.8090707063674927,0.0,-0.43581023812294006,0,1.0
207,-0.12240131944417953,0.0,-0.5145120024681091,1.8103020191192627,0.0,-0.43066683411598206,0,1.0
208,-0.1209385097026825,0.0,-0.514857828617096,1.811518669128418,0.0,-0.4255199730396271,0,1.0
209,-0.11947472393512726,0.0,-0.5151994824409485,1.812720775604248,0.0,-0.4203696548938751,0,1.0
210,-0.11800996959209442,0.0,-0.515536904335022,1.8139082193374634,0.0,-0.41521593928337097,0,1.0
211,-0.11654425412416458,0.0,-0.515870213508606,1.815081000328064,0.0,-0.4100588858127594,0,1.0
212,-0.11507760733366013,0.0,-0.5161994099617004,1.8162391185760498,0.0,-0.4048985242843628,0,1.0
213,-0.11361005157232285,0.0,-0.5165243744850159,1.817382574081421,0.0,-0.3997349143028259,0,1.0
214,-0.11214210093021393,0.0,-0.5168489813804626,1.8185113668441772,0.0,-0.3945680260658264,0,1.0
215,-0.11067956686019897,0.0,-0.517186164855957,1.8196254968643188,0.0,-0.3893979489803314,0,1.0
216,-0.10920239984989166,0.0,-0.5174780488014221,1.8207248449325562,0.0,-0.3842247724533081,0,1.0
217,-0.10773120820522308,0.0,-0.5177863240242004,1.8218095302581787,0.0,-0.3790484666824341,0,1.0
218,-0.10625863075256348,0.0,-0.5180866718292236,1.822879433631897,0.0,-0.3738690912723541,0,1.0
219,-0.1047857329249382,0.0,-0.5183865427970886,1.8239346742630005,0.0,-0.3686867356300354,0,1.0
220,-0.10331200063228607,0.0,-0.5186822414398193,1.8249751329421997,0.0,-0.3635013997554779,0,1.0
221,-0.1018374115228653,0.0,-0.5189738273620605,1.8260009288787842,0.0,-0.35831308364868164,0,1.0
222,-0.10036247223615646,0.0,-0.5192649364471436,1.8270119428634644,0.0,-0.35312187671661377,0,1.0
223,-0.09888577461242676,0.0,-0.5195443034172058,1.8280081748962402,0.0,-0.3479278087615967,0,1.0
224,-0.0974092185497284,0.0,-0.5198270678520203,1.8289896249771118,0.0,-0.34273093938827515,0,1.0
225,-0.09593094885349274,0.0,-0.5200979709625244,1.829956293106079,0.0,-0.33753129839897156,0,1.0
226,-0.0944523736834526,0.0,-0.5203685164451599,1.830908179283142,0.0,-0.3323289453983307,0,1.0
227,-0.09297303855419159,0.0,-0.5206348896026611,1.8318452835083008,0.0,-0.3271239101886749,0,1.0
228,-0.09149295091629028,0.0,-0.5208970308303833,1.8327676057815552,0.0,-0.32191622257232666,0,1.0
229,-0.09001211822032928,0.0,-0.5211549997329712,1.8336751461029053,0.0,-0.31670594215393066,0,1.0
230,-0.08853054791688919,0.0,-0.5214086771011353,1.834567904472351,0.0,-0.3114930987358093,0,1.0
231,-0.08704828470945358,0.0,-0.521658182144165,1.835445761680603,0.0,-0.3062777519226074,0,1.0
232,-0.08556530624628067,0.0,-0.5219035148620605,1.8363088369369507,0.0,-0.30105993151664734,0,1.0
233,-0.08408163487911224,0.0,-0.5221445560455322,1.837157130241394,0.0,-0.29583966732025146,0,1.0
234,-0.0825972855091095,0.0,-0.5223814249038696,1.8379905223846436,0.0,-0.2906170189380646,0,1.0
235,-0.08111227303743362,0.0,-0.522614061832428,1.8388090133666992,0.0,-0.28539201617240906,0,1.0
236,-0.07962660491466522,0.0,-0.522842526435852,1.8396127223968506,0.0,-0.2801647186279297,0,1.0
237,-0.07814029604196548,0.0,-0.5230666995048523,1.840401530265808,0.0,-0.27493515610694885,0,1.0
