ptnum,id,harmonic_vel_x,harmonic_vel_y,harmonic_vel_z,harmonic_coeff,P_x,P_y,P_z,coexact_vel_x,coexact_vel_y,coexact_vel_z,velocity_x,velocity_y,velocity_z,gamma
1566,0,-0.004688187502324581,-0.0,0.018464505672454834,-0.10612702369689941,-1.8007370233535767,0.0,-0.4578940272331238,-0.14132866263389587,0.0,0.5375751256942749,-0.14601685106754303,0.0,0.5560396313667297,1.0
1567,0,-0.004744498059153557,-0.0,0.018470926210284233,-0.10622601211071014,-1.799278736114502,0.0,-0.4635234475135803,-0.14076879620552063,0.0,0.5518091917037964,-0.14551329612731934,0.0,0.570280134677887,1.0
1568,0,-0.0048005301505327225,-0.0,0.01847057230770588,-0.10629033297300339,-1.797829270362854,0.0,-0.4693087637424469,-0.13944222033023834,0.0,0.5687954425811768,-0.14424274861812592,0.0,0.5872660279273987,1.0
1569,0,-0.004855911713093519,-0.0,0.0184613224118948,-0.10630878806114197,-1.7963967323303223,0.0,-0.47527894377708435,-0.1372678130865097,0.0,0.588844358921051,-0.14212371408939362,0.0,0.6073057055473328,1.0
1570,0,-0.004903947934508324,-0.0,0.018402522429823875,-0.10609342157840729,-1.794981837272644,0.0,-0.4813929796218872,-0.13690727949142456,0.0,0.5879331827163696,-0.14181123673915863,0.0,0.6063356995582581,1.0
1571,0,-0.004948336631059647,-0.0,0.018325431272387505,-0.10579556226730347,-1.7935582399368286,0.0,-0.4873860478401184,-0.13793917000293732,0.0,0.5741514563560486,-0.14288750290870667,0.0,0.5924769043922424,1.0
1572,0,-0.004993105307221413,-0.0,0.01825582981109619,-0.10553508251905441,-1.7921242713928223,0.0,-0.4932463467121124,-0.13889974355697632,0.0,0.5615092515945435,-0.14389285445213318,0.0,0.5797650814056396,1.0
1573,0,-0.005038268864154816,-0.0,0.018193092197179794,-0.10530898720026016,-1.7906805276870728,0.0,-0.4989849328994751,-0.13980057835578918,0.0,0.5499325394630432,-0.1448388546705246,0.0,0.5681256055831909,1.0
1574,0,-0.005083838477730751,-0.0,0.018136654049158096,-0.10511453449726105,-1.7892276048660278,0.0,-0.5046122074127197,-0.14065176248550415,0.0,0.539355993270874,-0.14573559165000916,0.0,0.5574926137924194,1.0
1575,0,-0.005129831377416849,-0.0,0.018086008727550507,-0.10494929552078247,-1.7877659797668457,0.0,-0.5101379156112671,-0.14146214723587036,0.0,0.5297213792800903,-0.14659197628498077,0.0,0.5478073954582214,1.0
1576,0,-0.00517625268548727,-0.0,0.018040666356682777,-0.10481089353561401,-1.7862958908081055,0.0,-0.5155712962150574,-0.142239511013031,0.0,0.5209786891937256,-0.14741577208042145,0.0,0.5390194058418274,1.0
1577,0,-0.005223108921200037,-0.0,0.018000178039073944,-0.10469713062047958,-1.7848176956176758,0.0,-0.5209211111068726,-0.14299067854881287,0.0,0.5130841135978699,-0.14821377396583557,0.0,0.5310842990875244,1.0
1578,0,-0.005270402878522873,-0.0,0.01796412281692028,-0.10460595786571503,-1.7833316326141357,0.0,-0.5261957049369812,-0.1437215656042099,0.0,0.5060001015663147,-0.14899197220802307,0.0,0.5239642262458801,1.0
1579,0,-0.005318142473697662,-0.0,0.017932120710611343,-0.1045355275273323,-1.7818379402160645,0.0,-0.5314030051231384,-0.14443746209144592,0.0,0.499693363904953,-0.14975561201572418,0.0,0.5176255106925964,1.0
1580,0,-0.005366328172385693,-0.0,0.017903797328472137,-0.10448400676250458,-1.780336618423462,0.0,-0.5365507006645203,-0.14514292776584625,0.0,0.49413686990737915,-0.15050925314426422,0.0,0.5120406746864319,1.0
1581,0,-0.005414961837232113,-0.0,0.017878808081150055,-0.10444970428943634,-1.7788277864456177,0.0,-0.5416462421417236,-0.14584195613861084,0.0,0.4893076717853546,-0.15125691890716553,0.0,0.5071864724159241,1.0
1582,0,-0.00546403881162405,-0.0,0.01785680651664734,-0.1044309139251709,-1.7773114442825317,0.0,-0.5466968417167664,-0.1465379297733307,0.0,0.48518818616867065,-0.15200196206569672,0.0,0.5030450224876404,1.0
1583,0,-0.005513560026884079,-0.0,0.017837481573224068,-0.10442610085010529,-1.7757877111434937,0.0,-0.5517094731330872,-0.14723384380340576,0.0,0.48176413774490356,-0.15274740755558014,0.0,0.4996016323566437,1.0
1584,0,-0.005563520360738039,-0.0,0.01782052032649517,-0.10443371534347534,-1.7742564678192139,0.0,-0.5566911697387695,-0.14793220162391663,0.0,0.47902601957321167,-0.15349571406841278,0.0,0.4968465566635132,1.0
1585,0,-0.005614497698843479,-0.0,0.01780708134174347,-0.10445863008499146,-1.7727184295654297,0.0,-0.5616499781608582,-0.14820025861263275,0.0,0.47773826122283936,-0.15381474792957306,0.0,0.49554532766342163,1.0
1586,0,-0.005671181716024876,-0.0,0.01780676282942295,-0.10453779250383377,-1.7712030410766602,0.0,-0.5666443705558777,-0.14353600144386292,0.0,0.4856782555580139,-0.14920717477798462,0.0,0.5034850239753723,1.0
