sidelen,component,theta_file,theta,Rin,Rout,r_min_plot,r_max_plot,in_plot_window,ptnum,r,P_x,P_y,P_z,u_exact,u_numerical,u_error,exact_vx,exact_vy,exact_vz,numerical_vx,numerical_vy,numerical_vz,position_delta
0.1,r,0.0,0.0,1.0,2.0,1.1,1.9,1,312,1.6252505779266357,1.6252505779266357,0.0,-8.27339759201795e-12,3.2965207403664354e-07,0.04262335598523207,0.04262302633315804,3.2965149898700474e-07,0.0,-0.1129644438624382,0.042623355984687805,0.0,-0.10691772401332855,1.65467951840359e-11
0.1,r,0.0,0.0,1.0,2.0,1.1,1.9,1,313,1.6272544860839844,1.6272544860839844,0.0,-6.980874767137379e-10,-6.279800784469923e-08,0.04017388452639359,0.04017394732440143,-6.284722786631392e-08,0.0,-0.1147327572107315,0.040173884481191635,0.0,-0.10536656528711319,1.3961749534274759e-09
0.1,r,0.0,0.0,1.0,2.0,1.1,1.9,1,314,1.6292585134506226,1.6292585134506226,0.0,-7.092423315313567e-10,3.920294848179722e-06,0.037760533437655106,0.03775661314280693,3.920244125765748e-06,0.0,-0.11651860177516937,0.03776053339242935,0.0,-0.1038917675614357,1.4184846630627135e-09
0.1,r,0.0,0.0,1.0,2.0,1.1,1.9,1,315,1.6312625408172607,1.6312625408172607,0.0,-6.685287323726641e-10,-1.1809490110203949e-08,0.03538344432143645,0.035383456130926555,-1.1857967940898106e-08,0.0,-0.11828970909118652,0.0353834442794323,0.0,-0.10249341279268265,1.3370574647453282e-09
0.1,r,0.0,0.0,1.0,2.0,1.1,1.9,1,316,1.633266568183899,1.633266568183899,0.0,-4.6520046148579297e-10,6.999621834914287e-08,0.03304262089630727,0.033042550900088924,6.996201307174488e-08,0.0,-0.12009088695049286,0.03304262086749077,0.0,-0.10117150098085403,9.304009229715859e-10
0.1,r,0.0,0.0,1.0,2.0,1.1,1.9,1,317,1.635270595550537,1.635270595550537,0.0,-2.1701321295530818e-10,3.4257830396714234e-06,0.030738061307220586,0.030734635524180914,3.4257668630743865e-06,0.0,-0.12189632654190063,0.030738061293959618,0.0,-0.09992603957653046,4.3402642591061635e-10
0.1,r,0.0,0.0,1.0,2.0,1.1,1.9,1,318,1.6372745037078857,1.6372745037078857,0.0,-3.445429219706142e-10,2.2862421914670896e-06,0.02846990341536202,0.028467617173170555,2.2862161586090224e-06,0.0,-0.12370863556861877,0.028469903394579887,0.0,-0.09875708818435669,6.890858439412284e-10
0.1,r,0.0,0.0,1.0,2.0,1.1,1.9,1,319,1.6392786502838135,1.6392786502838135,0.0,-3.4305977503201746e-10,1.5712070186100633e-06,0.026237737407857453,0.026236166200838844,1.5711807463958394e-06,0.0,-0.12553928792476654,0.026237737387418747,0.0,-0.09766443073749542,6.861195500640349e-10
0.1,r,0.0,0.0,1.0,2.0,1.1,1.9,1,320,1.641282558441162,1.641282558441162,0.0,-4.4816000910330445e-10,1.8024459150429896e-06,0.024042107191250068,0.024040304745335025,1.8024111341219395e-06,0.0,-0.12737709283828735,0.02404210716485977,0.0,-0.09664837270975113,8.963200182066089e-10
0.1,r,0.0,0.0,1.0,2.0,1.1,1.9,1,321,1.6432865858078003,1.6432865858078003,0.0,-1.9997276057281965e-10,-1.1134474884300608e-06,0.021882604819262137,0.021883718266750566,-1.1134632131870603e-06,0.0,-0.12921901047229767,0.02188260480761528,0.0,-0.09570866823196411,3.999455211456393e-10
0.1,r,0.0,0.0,1.0,2.0,1.1,1.9,1,322,1.6452906131744385,1.6452906131744385,0.0,-5.966360183684571e-10,5.103679272349142e-08,0.019759370048465508,0.019759319011672785,5.098926081359423e-08,0.0,-0.13107456266880035,0.019759370014071465,0.0,-0.09484542906284332,1.1932720367369143e-09
0.1,r,0.0,0.0,1.0,2.0,1.1,1.9,1,323,1.647294521331787,1.647294521331787,0.0,-1.0718247400731684e-09,2.721490182367143e-06,0.017672522054717865,0.017669800564535498,2.7214036890654825e-06,0.0,-0.1329321265220642,0.017672521993517876,0.0,-0.09405867010354996,2.143649480146337e-09
0.1,r,0.0,0.0,1.0,2.0,1.1,1.9,1,324,1.6492986679077148,1.6492986679077148,0.0,-5.400049157833209e-11,-1.5035858695247646e-06,0.015621693807916476,0.015623197393786,-1.5035902833915316e-06,0.0,-0.13480959832668304,0.015621693804860115,0.0,-0.09334827214479446,1.0800098315666418e-10
0.1,r,0.0,0.0,1.0,2.0,1.1,1.9,1,325,1.6513025760650635,1.6513025760650635,0.0,-1.7439431010402018e-09,6.654898316107003e-08,0.013829029263601517,0.013828962714618356,6.640461691631572e-08,0.0,-0.13669732213020325,0.01382902916520834,0.0,-0.09316640347242355,3.4878862020804036e-09
0.1,r,0.0,0.0,1.0,2.0,1.1,1.9,1,326,1.6533066034317017,1.6533066034317017,0.0,-6.699623078532113e-10,1.886658889031134e-06,0.012552239038981276,0.012550352380092245,1.8866027176045463e-06,0.0,-0.1386176347732544,0.012552239000797272,0.0,-0.09422898292541504,1.3399246157064226e-09
0.1,r,0.0,0.0,1.0,2.0,1.1,1.9,1,327,1.6553106307983398,1.6553106307983398,0.0,-1.2557710427074653e-09,6.035595170310056e-09,0.011300240715873294,0.011300234680278125,5.928983970449053e-09,0.0,-0.14053091406822205,0.011300240643322468,0.0,-0.09563379734754562,2.5115420854149306e-09
0.1,r,0.0,0.0,1.0,2.0,1.1,1.9,1,328,1.657314658164978,1.657314658164978,0.0,-1.9426638075970004e-09,-3.448999071437908e-07,0.01007303606957652,0.010073380969483663,-3.4506686574786727e-07,0.0,-0.14243480563163757,0.010073035955429077,0.0,-0.09738083928823471,3.885327615194001e-09
0.1,r,0.0,0.0,1.0,2.0,1.1,1.9,1,329,1.6593186855316162,1.6593186855316162,0.0,-2.6295565724865355e-09,-1.113234373905286e-06,0.008870623232104285,0.00887173646647819,-1.1134632131870603e-06,0.0,-0.14440354704856873,0.00887062307447195,0.0,-0.0994701087474823,5.259113144973071e-09
0.1,r,0.0,0.0,1.0,2.0,1.1,1.9,1,330,1.6613225936889648,1.6613225936889648,0.0,-1.5639450845483793e-09,3.475762201758789e-07,0.007693074273879172,0.007692726697658996,3.4743845844786847e-07,0.0,-0.1463393270969391,0.007693074177950621,0.0,-0.10190144926309586,3.1278901690967587e-09
